;Volume;ano;cvm;empresa_descr
0;2.064;2011;6343;TUPY
0;22.303.864;2011;6505;VIA VAREJO S.A
0;6.88;2011;6700;HOTEIS OTHON
0;82.434;2011;6815;IGB ELETR
0;1.216;2011;701;BAHEMA S.A
0;18.018;2011;7510;INDUSTRIAS ROMI S.A
0;4.018;2011;7544;TEXTIL RENAUXVIEW S.A
0;22.303.864;2011;7595;INEPAR S.A. INDUSTRIA E CONSTRUCOES
0;2.657.827;2011;7617;ITAUSA
0;2.248;2011;7811;JOAO FORTES
0;51.236000000000004;2011;7870;KEPLER WEBER
0;50.575;2011;80020;GP INVEST
0;7.611000000000001;2011;80047;WILSON SONS
0;22.303.864;2011;8087;LOJAS AMERIC
0;997.297;2011;8133;LOJAS RENNER
0;22.303.864;2011;8192;TREVISA
0;2.603;2011;8397;MANGELS INDUSTRIAL S.A
0;11.850999999999999;2011;8427;ESTRELA
0;405.245;2011;8451;MARCOPOLO S.A
0;8.97;2011;8575;METAL LEVE
0;1.088.033;2011;8656;METALURGICA GERDAU S.A
0;22.303.864;2011;8672;JEREISSATI PARTICIPACOES S.A
0;22.303.864;2011;8753;METISA
0;22.303.864;2011;8893;MONTEIRO ARANHA S.A
0;22.303.864;2011;9040;NADIR FIGUEI
0;22.303.864;2011;9067;SUZANO HOLD
0;22.303.864;2011;906;BCO BRADESCO S.A
0;22.303.864;2011;9342;DIMED
0;165.798;2011;9393;PARANAPANEMA S.A
0;22.303.864;2011;94;PANATLANTICA
0;22.303.864;2011;9512;PETROLEO BRASILEIRO S.A. PETROBRAS
0;22.303.864;2011;9954;ALFA HOLDING
0;360.81699999999995;2011;9989;REFINARIA DE PETROLEOS MANGUINHOS S.A
0;3.779.106;2012;1023;BCO BRASIL S.A
0;177.153;2012;10456;ALPARGATAS
0;47.775;2012;10472;SARAIVA LIVR
0;122;2012;10880;SONDOTECNICA ENGENHARIA SOLOS S.A
0;7.255;2012;10960;SPRINGER
0;31.092.222;2012;11070;WLM PART. E
0;14.64;2012;11223;TEKA
0;218;2012;11231;TEKNO
0;2.466.374;2012;11312;OI S.A
0;31.092.222;2012;11398;CRISTAL PIGMENTOS DO BRASIL S.A
0;24.584;2012;1155;BANESTES S.A. - BCO EST ESPIRITO SANTO
0;26.413;2012;11592;UNIPAR
0;1.786;2012;11762;VULCABRAS
0;440.67800000000005;2012;11932;IOCHPE MAXION S.A
0;31.092.222;2012;11975;AZEVEDO
0;2.395;2012;11991;WETZEL S.A
0;531.289;2012;1210;BCO ESTADO DO RIO GRANDE DO SUL S.A
0;840;2012;12190;BOMBRIL S.A
0;233;2012;12530;ITAUTEC
0;12.844000000000001;2012;12572;RECRUSUL
0;1.330.006;2012;12653;KLABIN S.A
0;10.817;2012;12696;SANSUY S.A. INDUSTRIA DE PLASTICOS
0;11;2012;12823;ALIPERTI
0;1.849;2012;1325;BCO MERCANTIL DO BRASIL S.A
0;31.092.222;2012;13285;JOSAPAR
0;31.092.222;2012;13366;HAGA S.A. INDUSTRIA E COMERCIO
0;33.805;2012;13471;PLASCAR PARTICIPACOES INDUSTRIAIS S.A
0;31.092.222;2012;13765;MINUPAR
0;7.945;2012;13773;PBG
0;9.86;2012;13781;SAO CARLOS
0;1.176;2012;1384;BCO ALFA DE INVESTIMENTO S.A
0;1.630.020;2012;13986;SUZANO S.A
0;549.698;2012;14109;RANDON S.A. IMPLEMENTOS E PARTICIPACOES
0;21.998;2012;14133;TEC TOY S.A
0;31.092.222;2012;14206;BRB BCO DE BRASILIA S.A
0;657.279;2012;14311;COPEL
0;3.818.805;2012;14320;USIMINAS
0;2.903;2012;14346;WHIRLPOOL
0;787;2012;14451;CIA ENERGETICA DE BRASILIA
0;2.165.426;2012;14460;CYRELA BRAZIL REALTY S.A.EMPREEND E PART
0;31.092.222;2012;14664;SCHULZ
0;1.280.483;2012;14761;CIA HERING
0;31.092.222;2012;14826;CIA BRASILEIRA DE DISTRIBUICAO
0;31.092.222;2012;15091;LITEL
0;2.148;2012;1520;BARDELLA
0;891;2012;15253;ENERGISA S.A
0;31.092.222;2012;15300;RUMO MALHA NORTE S.A
0;31.092.222;2012;15369;FERROVIA CENTRO-ATLANTICA S.A
0;15.181;2012;15458;BATTISTELLA
0;31.092.222;2012;15539;NEOENERGIA S.A
0;31.092.222;2012;1562;BAUMER
0;2.287.109;2012;16101;GAFISA S.A
0;1.617.717;2012;16292;BRF S.A
0;31.092.222;2012;16306;ROSSI RESID
0;31.092.222;2012;16438;SUL 116 PART
0;31.092.222;2012;16497;ENCORPAR
0;49.135;2012;16632;GPC PART
0;31.092.222;2012;16659;PORTO SEGURO S.A
0;31.092.222;2012;1694;BICICLETAS MONARK S.A
0;1.147;2012;16993;EMAE
0;31.092.222;2012;17329;ENGIE BRASIL
0;31.092.222;2012;17450;RUMO S.A
0;31.092.222;2012;17493;CAPITALPART
