;QtdAcoes;ano;cvm;empresa_descr
0;311.803.015  ;2012;19623;DASA
0;150.0;2012;19658;POMIFRUTAS
0;201.708;2012;19739;LOCALIZA
0;476.415;2012;19763;ENERGIAS BR
0;203.934.060  ;2012;19879;LIGHT SA
0;453.36400000000003;2012;19909;BR MALLS PAR
0;311.613;2012;19925;BR PROPERT
0;161.629.945  ;2012;19992;TOTVS
0;185.243.902  ;2012;20010;EQUATORIAL
0;55.75;2012;20028;VALID
0;157.003.138  ;2012;20060;LUPATECH
0;740.465;2012;20087;EMBRAER
0;531.294.792  ;2012;20125;ODONTOPREV
0;170.122.934  ;2012;20184;CCX CARVAO
0;1.033.497  ;2012;20257;TAESA
0;2.896.785  ;2012;20320;CEMIG GT
0;113.450.000  ;2012;20338;M.DIASBRANCO
0;33.543;2012;20346;PROFARMA
0;3.486.812  ;2012;20354;TERRA SANTA
0;87.8;2012;20362;POSITIVO TEC
0;57.07899999999999;2012;20370;LOPES BRASIL
0;185.967;2012;20435;TECNISA
0;48.575;2012;20451;RNI
0;1.333.648  ;2012;20478;PDG REALT
0;158.510.978  ;2012;20494;IGUATEMI
0;233.293.408  ;2012;20524;EVEN
0;399.044.117  ;2012;20532;SANTANDER BR
0;412.274.029  ;2012;20540;CPFL RENOVAV
0;108.631.100  ;2012;20567;PINE
0;2.943.644.008  ;2012;20575;JBS
0;430.550.735  ;2012;20605;JHSF PART
0;41.43899999999999;2012;20613;METALFRIO
0;48.471.407  ;2012;20621;FER HERINGER
0;48.443.062  ;2012;20630;CR2
