;cvm;codigo;cvm2;ano;1;1.01.01;1.01.02;1.02.01.01;1.02.01.02;1.02.01.03;2.01.04;2.01.02;2.02.01;3.05;open;close
135;11223;TEKA3;11223;2011;508.312;3.428;;;;0;247.005;74.447;23.660;-36.216;;
136;11223;TEKA3;11223;2012;837.479;2.116;;;;;217.581;96.844;31.691;288.074;;
137;11223;TEKA3;11223;2013;832.116;2.199;;;;;252.160;138.299;33.197;-52.512;;
138;11223;TEKA3;11223;2014;830.958;487;;;;21;319.285;263.636;0;-32.602;;
139;11223;TEKA3;11223;2015;883.757;339;;;;0;364.374;310.143;0;3.021;;
140;11223;TEKA3;11223;2016;949.582;310;;;;0;425.116;358.120;1.559;10.721;;
141;11223;TEKA3;11223;2017;970.346;83;;;;;479.412;405.876;1.126;-20.176;;
142;11223;TEKA3;11223;2018;965.579;146;;;;;424.578;336.088;1.328;-18.557;;
143;11223;TEKA4;11223;2010;551.556;4.313;;;;0;223.918;61.522;25.009;7.010;0,32;1,31
144;11223;TEKA4;11223;2011;508.312;3.428;;;;0;247.005;74.447;23.660;-36.216;1,30;1,40
145;11223;TEKA4;11223;2012;837.479;2.116;;;;;217.581;96.844;31.691;288.074;1,46;0,52
146;11223;TEKA4;11223;2013;832.116;2.199;;;;;252.160;138.299;33.197;-52.512;0,52;0,42
147;11223;TEKA4;11223;2014;830.958;487;;;;21;319.285;263.636;0;-32.602;0,41;0,26
148;11223;TEKA4;11223;2015;883.757;339;;;;0;364.374;310.143;0;3.021;0,26;0,12
149;11223;TEKA4;11223;2016;949.582;310;;;;0;425.116;358.120;1.559;10.721;0,11;7,50
150;11223;TEKA4;11223;2017;970.346;83;;;;;479.412;405.876;1.126;-20.176;7,90;7,05
151;11223;TEKA4;11223;2018;965.579;146;;;;;424.578;336.088;1.328;-18.557;6,66;8,00
152;11231;TKNO3;11231;2010;263.527;120.766;29.591;;;;4.555;7.681;5.185;21.143;;
153;11231;TKNO3;11231;2011;272.923;138.674;2.262;;;;5.932;18.347;0;16.569;;
154;11231;TKNO3;11231;2012;253.124;101.771;0;;;;0;6.372;;16.891;;
155;11231;TKNO3;11231;2013;244.027;47.329;2.661;;;;;6.562;;19.275;;
156;11231;TKNO3;11231;2014;242.655;59.249;0;;;;110;6.792;305;2.461;;
157;11231;TKNO3;11231;2015;230.733;51.654;;;;;119;8.375;186;-15.367;;
158;11231;TKNO3;11231;2016;219.602;34.887;;;;;1.392;10.299;5.172;-25.662;;
159;11231;TKNO3;11231;2017;204.819;20.753;;;;;1.842;13.490;3.949;-19.963;;
160;11231;TKNO3;11231;2018;214.634;16.786;2.193;;;;3.871;17.827;2.492;-2.975;;
161;11231;TKNO4;11231;2010;263.527;120.766;29.591;;;;4.555;7.681;5.185;21.143;;
162;11231;TKNO4;11231;2011;272.923;138.674;2.262;;;;5.932;18.347;0;16.569;;
163;11231;TKNO4;11231;2012;253.124;101.771;0;;;;0;6.372;;16.891;;
164;11231;TKNO4;11231;2013;244.027;47.329;2.661;;;;;6.562;;19.275;;
165;11231;TKNO4;11231;2014;242.655;59.249;0;;;;110;6.792;305;2.461;;
166;11231;TKNO4;11231;2015;230.733;51.654;;;;;119;8.375;186;-15.367;;
167;11231;TKNO4;11231;2016;219.602;34.887;;;;;1.392;10.299;5.172;-25.662;;
168;11231;TKNO4;11231;2017;204.819;20.753;;;;;1.842;13.490;3.949;-19.963;;
169;11231;TKNO4;11231;2018;214.634;16.786;2.193;;;;3.871;17.827;2.492;-2.975;;
170;11312;OIBR3;11312;2010;26.886.114;3.216.937;832.077;;;;1.044.226;1.636.598;3.320.860;2.459.530;;
171;11312;OIBR3;11312;2011;31.664.031;6.004.506;1.084.027;13.327;;;1.143.537;1.840.552;6.961.674;1.567.287;;
172;11312;OIBR3;11312;2012;69.076.894;4.413.042;2.425.907;63.692;;;3.113.621;4.658.849;30.232.468;4.760.139;;
173;11312;OIBR3;11312;2013;70.096.071;2.424.830;492.510;99.129;;;4.158.708;4.732.174;31.694.918;5.286.617;9,16;3,61
174;11312;OIBR3;11312;2014;102.789.122;2.449.206;171.415;111.285;;;4.463.728;4.336.566;31.385.667;5.674.638;3,51;9,15
175;11312;OIBR3;11312;2015;97.014.806;14.898.063;1.801.720;125.966;;;11.809.598;5.004.833;48.047.819;2.702.396;9,12;2,40
176;11312;OIBR3;11312;2016;82.171.198;7.563.251;116.532;169.473;;;48.086.287;6.360.629;0;60.055;2,42;2,63
177;11312;OIBR3;11312;2017;68.639.036;6.862.684;21.447;114.839;;;54.515.233;7.627.169;0;-2.361.028;2,64;3,63
178;11312;OIBR3;11312;2018;65.437.797;4.385.329;201.975;36.987;;;672.894;5.225.862;15.777.012;-5.268.258;3,60;1,25
179;11312;OIBR4;11312;2010;26.886.114;3.216.937;832.077;;;;1.044.226;1.636.598;3.320.860;2.459.530;;
180;11312;OIBR4;11312;2011;31.664.031;6.004.506;1.084.027;13.327;;;1.143.537;1.840.552;6.961.674;1.567.287;;
181;11312;OIBR4;11312;2012;69.076.894;4.413.042;2.425.907;63.692;;;3.113.621;4.658.849;30.232.468;4.760.139;;
182;11312;OIBR4;11312;2013;70.096.071;2.424.830;492.510;99.129;;;4.158.708;4.732.174;31.694.918;5.286.617;8,32;3,59
183;11312;OIBR4;11312;2014;102.789.122;2.449.206;171.415;111.285;;;4.463.728;4.336.566;31.385.667;5.674.638;3,50;8,61
184;11312;OIBR4;11312;2015;97.014.806;14.898.063;1.801.720;125.966;;;11.809.598;5.004.833;48.047.819;2.702.396;8,43;1,95
185;11312;OIBR4;11312;2016;82.171.198;7.563.251;116.532;169.473;;;48.086.287;6.360.629;0;60.055;1,84;2,25
186;11312;OIBR4;11312;2017;68.639.036;6.862.684;21.447;114.839;;;54.515.233;7.627.169;0;-2.361.028;2,31;3,47
187;11312;OIBR4;11312;2018;65.437.797;4.385.329;201.975;36.987;;;672.894;5.225.862;15.777.012;-5.268.258;3,42;1,26
188;11312;OIBR11;11312;2010;26.886.114;3.216.937;832.077;;;;1.044.226;1.636.598;3.320.860;2.459.530;;
189;11312;OIBR11;11312;2011;31.664.031;6.004.506;1.084.027;13.327;;;1.143.537;1.840.552;6.961.674;1.567.287;;
190;11312;OIBR11;11312;2012;69.076.894;4.413.042;2.425.907;63.692;;;3.113.621;4.658.849;30.232.468;4.760.139;;
191;11312;OIBR11;11312;2013;70.096.071;2.424.830;492.510;99.129;;;4.158.708;4.732.174;31.694.918;5.286.617;;
192;11312;OIBR11;11312;2014;102.789.122;2.449.206;171.415;111.285;;;4.463.728;4.336.566;31.385.667;5.674.638;;
